舰船名,别名,启用,稀有度@zh（类型：exact）,稀有度@en（类型：exact）,阵营@zh（类型：exact）,阵营@en（类型：exact）,舰种@zh（类型：exact）,舰种@en（类型：exact）,舰级@zh（类型：exact）,舰级@en（类型：exact）,建造时间@zh（类型：ordered）,实装活动@zh（类型：ordered）,实装活动@en（类型：ordered）
克利夫兰(μ兵装),Cleveland、Cleveland µ,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,克利夫兰级,Cleveland,01:25:00,2019-10-31 激奏的Polaris,2019-10-31 Crescendo of Polaris
比洛克西,Biloxi,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,克利夫兰级,Cleveland,01:25:00,2020-01-21 战斗！皇家女仆队2nd,"2020-01-21 Fight On, Royal Maids!"
里诺,Reno,是,超稀有,Super Rare,白鹰,Eagle Union,轻巡,CL,亚特兰大级,Atlanta,01:10:00,2020-03-26 微层混合,2020-03-26 Microlayer Medley
马布尔黑德,Marblehead,是,稀有,Rare,白鹰,Eagle Union,轻巡,CL,奥马哈级,Omaha,01:05:00,2020-03-26 微层混合,2020-03-26 Microlayer Medley
博伊西,树城、Boise,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,布鲁克林级,Brooklyn,01:15:00,2021-05-27 镜位螺旋,2021-05-27 Mirror Involution
休斯敦II,Houston II,是,超稀有,Super Rare,白鹰,Eagle Union,轻巡,CL,克利夫兰级,Cleveland,无法建造,无活动,No Event
博伊西(μ兵装),树城(μ兵装)、Boise、Boise µ,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,布鲁克林级,Brooklyn,01:15:00,2024-04-25 共鸣的PASSION,2024-04-25 Heart-Linking Harmony
法戈,Fargo,是,超稀有,Super Rare,白鹰,Eagle Union,轻巡,CL,法戈级,Fargo,01:26:00,2024-08-15 铁翼擎风,2024-08-15 Windborne Steel Wings
圣塔菲,Santa Fe,是,超稀有,Super Rare,白鹰,Eagle Union,轻巡,CL,克利夫兰级,Cleveland,01:25:00,2025-03-27 深谷来信,2025-03-27 Letters from Valley Hospital
帕萨迪纳,Pasadena,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,克利夫兰级,Cleveland,01:25:00,2025-12-18 响彻于天穹之音,2025-12-18 A Note Through the Firmament
彭萨科拉,Pensacola,是,普通,Normal,白鹰,Eagle Union,重巡,CA,彭萨科拉级,Pensacola,01:20:00,无活动,No Event
盐湖城,Salt Lake City,是,普通,Normal,白鹰,Eagle Union,重巡,CA,彭萨科拉级,Pensacola,无法建造,无活动,No Event
北安普敦,Northampton,是,稀有,Rare,白鹰,Eagle Union,重巡,CA,北安普敦级,Northampton,01:40:00,无活动,No Event
芝加哥,Chicago,是,稀有,Rare,白鹰,Eagle Union,重巡,CA,北安普敦级,Northampton,01:40:00,无活动,No Event
休斯敦,Houston,是,精锐,Elite,白鹰,Eagle Union,重巡,CA,北安普敦级,Northampton,01:40:00,无活动,No Event
波特兰,Portland,是,稀有,Rare,白鹰,Eagle Union,重巡,CA,波特兰级,Portland,01:50:00,无活动,No Event
印第安纳波利斯,Indianapolis,是,精锐,Elite,白鹰,Eagle Union,重巡,CA,波特兰级,Portland,01:50:00,无活动,No Event
阿斯托利亚,Astoria,是,精锐,Elite,白鹰,Eagle Union,重巡,CA,新奥尔良级,New Orleans,无法建造,2018-07-17 月光下的序曲,2018-07-17 Prelude under the Moon
昆西,Quincy,是,精锐,Elite,白鹰,Eagle Union,重巡,CA,新奥尔良级,New Orleans,无法建造,2018-07-17 月光下的序曲,2018-07-17 Prelude under the Moon
文森斯,Vincennes,是,精锐,Elite,白鹰,Eagle Union,重巡,CA,新奥尔良级,New Orleans,无法建造,2018-07-17 月光下的序曲,2018-07-17 Prelude under the Moon
威奇塔,Wichita,是,精锐,Elite,白鹰,Eagle Union,重巡,CA,威奇塔级,Wichita,02:30:00,无活动,No Event
新奥尔良,New Orleans,是,超稀有,Super Rare,白鹰,Eagle Union,重巡,CA,新奥尔良级,New Orleans,无法建造,无活动,No Event
明尼阿波利斯,Minneapolis,是,超稀有,Super Rare,白鹰,Eagle Union,重巡,CA,新奥尔良级,New Orleans,无法建造,2018-10-25 复刻：坠落之翼,2018-10-25 Fallen Wings
旧金山,雾城、San Francisco,是,超稀有,Super Rare,白鹰,Eagle Union,重巡,CA,新奥尔良级,New Orleans,01:56:00,2021-05-27 镜位螺旋,2021-05-27 Mirror Involution
巴尔的摩,Baltimore,是,超稀有,Super Rare,白鹰,Eagle Union,重巡,CA,巴尔的摩级,Baltimore,02:00:00,2019-07-31 箱庭疗法,2019-07-31 Ashen Simulacrum
布莱默顿,Bremerton,是,超稀有,Super Rare,白鹰,Eagle Union,重巡,CA,巴尔的摩级,Baltimore,02:00:00,2020-03-26 微层混合,2020-03-26 Microlayer Medley
巴尔的摩(μ兵装),Baltimore、Baltimore µ,是,精锐,Elite,白鹰,Eagle Union,重巡,CA,巴尔的摩级,Baltimore,02:00:00,2020-10-29 激唱的UNIVERSE,2020-10-29 Universe in Unison
北安普敦II,Northampton II,是,超稀有,Super Rare,白鹰,Eagle Union,重巡,CA,俄勒冈城级,Oregon City,02:00:00,2022-12-22 定向折叠,2022-12-22 Parallel Superimposition
路易斯维尔,Louisville,是,精锐,Elite,白鹰,Eagle Union,重巡,CA,北安普敦级,Northampton,无法建造,2023-12-21 星海逐光,2023-12-21 Light-Chasing Sea of Stars
匹兹堡,Pittsburgh,是,超稀有,Super Rare,白鹰,Eagle Union,重巡,CA,巴尔的摩级,Baltimore,02:00:00,2024-08-15 铁翼擎风,2024-08-15 Windborne Steel Wings
小安克雷奇,Little Anchorage,是,精锐,Elite,白鹰,Eagle Union,重巡,CA,安克雷奇级,Anchorage,无法建造,2025-04-24 扬起郁金之旗,2025-04-24 Drawing the Starry Skies
星座,Constellation,是,超稀有,Super Rare,白鹰,Eagle Union,战巡,BC,列克星敦级,Lexington,04:16:30,2023-12-21 星海逐光,2023-12-21 Light-Chasing Sea of Stars
内华达,Nevada,是,普通,Normal,白鹰,Eagle Union,战列,BB,内华达级,Nevada,04:00:00,无活动,No Event
俄克拉荷马,Oklahoma,是,普通,Normal,白鹰,Eagle Union,战列,BB,内华达级,Nevada,04:00:00,无活动,No Event
宾夕法尼亚,Pennsylvania,是,稀有,Rare,白鹰,Eagle Union,战列,BB,宾夕法尼亚级,Pennsylvania,04:10:00,无活动,No Event
亚利桑那,Arizona,是,精锐,Elite,白鹰,Eagle Union,战列,BB,宾夕法尼亚级,Pennsylvania,04:10:00,无活动,No Event
田纳西,Tennessee,是,稀有,Rare,白鹰,Eagle Union,战列,BB,田纳西级,Tennessee,04:20:00,无活动,No Event
加利福尼亚,California,是,稀有,Rare,白鹰,Eagle Union,战列,BB,田纳西级,Tennessee,04:20:00,无活动,No Event
科罗拉多,Colorado,是,精锐,Elite,白鹰,Eagle Union,战列,BB,科罗拉多级,Colorado,无法建造,2017-12-28 坠落之翼,2017-12-28 Fallen Wings
马里兰,Maryland,是,精锐,Elite,白鹰,Eagle Union,战列,BB,科罗拉多级,Colorado,无法建造,2017-12-28 坠落之翼,2017-12-28 Fallen Wings
西弗吉尼亚,West Virginia,是,精锐,Elite,白鹰,Eagle Union,战列,BB,科罗拉多级,Colorado,无法建造,2017-12-28 坠落之翼,2017-12-28 Fallen Wings
北卡罗来纳,North Carolina,是,超稀有,Super Rare,白鹰,Eagle Union,战列,BB,北卡罗来纳级,North Carolina,无法建造,2017-12-28 坠落之翼,2017-12-28 Fallen Wings
华盛顿,Washington,是,超稀有,Super Rare,白鹰,Eagle Union,战列,BB,北卡罗来纳级,North Carolina,无法建造,2017-12-28 坠落之翼,2017-12-28 Fallen Wings
南达科他,South Dakota,是,超稀有,Super Rare,白鹰,Eagle Union,战列,BB,南达科他级,South Dakota,无法建造,无活动,No Event
印第安纳,Indiana,是,超稀有,Super Rare,白鹰,Eagle Union,战列,BB,南达科他级,South Dakota,05:00:00,2024-08-15 铁翼擎风,2024-08-15 Windborne Steel Wings
新泽西,花园、New Jersey,是,海上传奇,Ultra Rare,白鹰,Eagle Union,战列,BB,衣阿华级,Iowa,06:30:00,2021-05-27 镜位螺旋,2021-05-27 Mirror Involution
马萨诸塞,Massachusetts,是,超稀有,Super Rare,白鹰,Eagle Union,战列,BB,南达科他级,South Dakota,无法建造,2018-07-26 光与影的鸢尾之华,2018-07-26 Iris of Light and Dark
阿拉巴马,Alabama,是,超稀有,Super Rare,白鹰,Eagle Union,战列,BB,南达科他级,South Dakota,05:00:00,2019-07-31 箱庭疗法,2019-07-31 Ashen Simulacrum
长岛,Long Island,是,稀有,Rare,白鹰,Eagle Union,轻航,CVL,长岛级,Long Island,02:15:00,无活动,No Event
博格,Bogue,是,普通,Normal,白鹰,Eagle Union,轻航,CVL,博格级,Bogue,02:20:00,无活动,No Event
卡萨布兰卡,Casablanca,是,稀有,Rare,白鹰,Eagle Union,轻航,CVL,卡萨布兰卡级,Casablanca,无法建造,2020-03-26 微层混合,2020-03-26 Microlayer Medley
兰利,Langley,是,普通,Normal,白鹰,Eagle Union,轻航,CVL,兰利级,Langley,02:00:00,无活动,No Event
列克星敦,Lexington,是,精锐,Elite,白鹰,Eagle Union,航母,CV,列克星敦级,Lexington,03:40:00,无活动,No Event
萨拉托加,Saratoga,是,精锐,Elite,白鹰,Eagle Union,航母,CV,列克星敦级,Lexington,03:40:00,无活动,No Event
突击者,Ranger,是,普通,Normal,白鹰,Eagle Union,轻航,CVL,突击者级,Ranger,02:40:00,无活动,No Event
约克城,Yorktown,是,精锐,Elite,白鹰,Eagle Union,航母,CV,约克城级,Yorktown,04:20:00,无活动,No Event
企业,Enterprise,是,超稀有,Super Rare,白鹰,Eagle Union,航母,CV,约克城级,Yorktown,04:20:00,无活动,No Event
大黄蜂,Hornet,是,精锐,Elite,白鹰,Eagle Union,航母,CV,约克城级,Yorktown,04:20:00,无活动,No Event
胡蜂,Wasp,是,稀有,Rare,白鹰,Eagle Union,航母,CV,胡蜂级,Wasp,无法建造,2017-12-28 坠落之翼,2017-12-28 Fallen Wings
埃塞克斯,Essex,是,超稀有,Super Rare,白鹰,Eagle Union,航母,CV,埃塞克斯级,Essex,04:25:00,2018-09-14 大青花鱼的涂鸦板,2018-09-14 1 Year Anniversary
约克城II,Yorktown II,是,海上传奇,Ultra Rare,白鹰,Eagle Union,航母,CV,埃塞克斯级,Essex,04:25:00,2022-12-22 定向折叠,2022-12-22 Parallel Superimposition
无畏,Intrepid,是,超稀有,Super Rare,白鹰,Eagle Union,航母,CV,埃塞克斯级,Essex,04:25:00,2020-03-26 微层混合,2020-03-26 Microlayer Medley
大黄蜂II,Hornet II,是,超稀有,Super Rare,白鹰,Eagle Union,航母,CV,埃塞克斯级,Essex,04:25:00,2022-12-22 定向折叠,2022-12-22 Parallel Superimposition
富兰克林,Franklin,是,超稀有,Super Rare,白鹰,Eagle Union,航母,CV,埃塞克斯级,Essex,04:25:00,2025-03-27 深谷来信,2025-03-27 Letters from Valley Hospital
提康德罗加,卡莉永、Ticonderoga,是,超稀有,Super Rare,白鹰,Eagle Union,航母,CV,埃塞克斯级,Essex,04:25:00,2021-05-27 镜位螺旋,2021-05-27 Mirror Involution
列克星敦II,Lexington II,是,海上传奇,Ultra Rare,白鹰,Eagle Union,航母,CV,埃塞克斯级,Essex,04:25:00,2025-12-18 响彻于天穹之音,2025-12-18 A Note Through the Firmament
邦克山,Bunker Hill,是,超稀有,Super Rare,白鹰,Eagle Union,航母,CV,埃塞克斯级,Essex,无法建造,无活动,No Event
独立,Independence,是,精锐,Elite,白鹰,Eagle Union,轻航,CVL,独立级,Independence,无法建造,2019-02-28 特别演习•埃塞克斯级,2019-02-28 Air Raid Drills with Essex
普林斯顿,Princeton,是,精锐,Elite,白鹰,Eagle Union,轻航,CVL,独立级,Independence,02:06:40,2020-10-12 划破海空之翼,2020-10-12 Sundered Blue
科本斯,Cowpens,是,超稀有,Super Rare,白鹰,Eagle Union,轻航,CVL,独立级,Independence,02:06:40,2025-12-18 响彻于天穹之音,2025-12-18 A Note Through the Firmament
兰利II,Langley II,是,精锐,Elite,白鹰,Eagle Union,轻航,CVL,独立级,Independence,无法建造,2022-12-22 定向折叠,2022-12-22 Parallel Superimposition
巴丹,Bataan,是,精锐,Elite,白鹰,Eagle Union,轻航,CVL,独立级,Independence,无法建造,2019-07-31 箱庭疗法,2019-07-31 Ashen Simulacrum
圣哈辛托,San Jacinto,是,精锐,Elite,白鹰,Eagle Union,轻航,CVL,独立级,Independence,02:06:40,2023-12-21 星海逐光,2023-12-21 Light-Chasing Sea of Stars
香格里拉,Shangri-La,是,超稀有,Super Rare,白鹰,Eagle Union,航母,CV,埃塞克斯级,Essex,04:25:00,2019-02-28 特别演习•埃塞克斯级,2019-02-28 Air Raid Drills with Essex
小企业,Little Enterprise,是,精锐,Elite,白鹰,Eagle Union,航母,CV,约克城级,Yorktown,04:30:00,2021-05-27 镜位螺旋,2021-05-27 Soar Fledgling Wings!
鲦鱼,Dace,是,精锐,Elite,白鹰,Eagle Union,潜艇,SS,猫鲨级,Gato,无法建造,无活动,No Event
大青花鱼,Albacore,是,超稀有,Super Rare,白鹰,Eagle Union,潜艇,SS,猫鲨级,Gato,无法建造,2018-09-14 大青花鱼的涂鸦板,2018-09-14 1 Year Anniversary
棘鳍,Cavalla,是,超稀有,Super Rare,白鹰,Eagle Union,潜艇,SS,猫鲨级,Gato,无法建造,2019-07-31 箱庭疗法,2019-07-31 Ashen Simulacrum
蓝鳃鱼,Bluegill,是,精锐,Elite,白鹰,Eagle Union,潜艇,SS,猫鲨级,Gato,无法建造,2020-03-26 微层混合,2020-03-26 Microlayer Medley
大青花鱼(μ兵装),Albacore、Albacore µ,是,精锐,Elite,白鹰,Eagle Union,潜艇,SS,猫鲨级,Gato,00:24:00,2020-10-29 激唱的UNIVERSE,2020-10-29 Universe in Unison
射水鱼,喷水鱼、Archerfish,是,超稀有,Super Rare,白鹰,Eagle Union,潜艇,SS,巴劳鱵级,Balao,00:25:00,2021-05-27 镜位螺旋,2021-05-27 Mirror Involution
鹦鹉螺,Nautilus,是,精锐,Elite,白鹰,Eagle Union,潜艇,SS,独角鲸级,Narwhal,00:23:00,2021-08-19 复刻：微层混合,2021-08-19 Microlayer Medley Rerun
松鲷,Flasher,是,超稀有,Super Rare,白鹰,Eagle Union,潜艇,SS,猫鲨级,Gato,00:24:00,2023-12-21 星海逐光,2023-12-21 Light-Chasing Sea of Stars
鲱鱼,Herring,是,精锐,Elite,白鹰,Eagle Union,潜艇,SS,猫鲨级,Gato,无法建造,2024-08-15 铁翼擎风,2024-08-15 Windborne Steel Wings
女灶神,Vestal,是,精锐,Elite,白鹰,Eagle Union,维修,AR,女灶神级,Vestal,02:00:00,无活动,No Event
关岛,Guam,是,海上传奇,Ultra Rare,白鹰,Eagle Union,超巡,CB,阿拉斯加级,Alaska,04:11:40,2023-12-21 星海逐光,2023-12-21 Light-Chasing Sea of Stars
西雅图,Seattle,是,最高方案,Priority,白鹰,Eagle Union,轻巡,CL,伍斯特级,Seattle,科研,2019-04-18 开发船坞,2019-04-18 Season 2
佐治亚,Georgia,是,最高方案,Priority,白鹰,Eagle Union,战列,BB,衣阿华级,Georgia,科研,2019-04-18 开发船坞,2019-04-18 Season 2
安克雷奇,Anchorage,是,最高方案,Priority,白鹰,Eagle Union,重巡,CA,安克雷奇级,Anchorage,科研,2021-07-08 开发船坞,2021-07-08 Season 4
奇尔沙治,Kearsarge,是,决战方案,Decisive,白鹰,Eagle Union,航战,BBV,1型,Kearsarge,科研,2023-07-13 密语档案室,2023-07-13 Season 6
哈尔福德,Halford,是,最高方案,Priority,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,科研,2024-07-11 开发船坞,2024-07-11 Season 7
堪萨斯,Kansas,是,最高方案,Priority,白鹰,Eagle Union,战列,BB,南达科他级,Kansas,科研,2025-07-10 开发船坞,2025-07-10 Season 8
女将,Amazon,是,稀有,Rare,皇家,Royal Navy,驱逐,DD,A级,Amazon,00:19:00,无活动,No Event
阿卡司塔,Acasta,是,稀有,Rare,皇家,Royal Navy,驱逐,DD,A级／B级,A and B,00:19:00,2017-10-26 万圣节之夜,2017-10-26 Glorious Battle
热心,Ardent,是,稀有,Rare,皇家,Royal Navy,驱逐,DD,A级／B级,A and B,00:19:00,2017-10-26 万圣节之夜,2017-10-26 Glorious Battle
